cluster,hires_celltype,mergedcelltype,coarsecelltype
0,CD4_Mem,CD4_Mem,CD4
1,NK_CD16hi,NK_CD16hi,NK
2,CD4_Naive,CD4_Naive,CD4
3,CD4_Mem,CD4_Mem,CD4
4,Mono_Classical,Mono_Classical,Mono
5,CD4_Naive,CD4_Naive,CD4
6,B_Mem,B_Mem,B
7,NK_CD16hi,NK_CD16hi,NK
8,CD8_Mem_KLRG1hi,CD8_Mem,CD8
9,T_Vd2,T_Vd2,T_Vd2
10,CD8_Mem,CD8_Mem,CD8
11,NK_CD16hi,NK_CD16hi,NK
12,CD8_Mem_KLRG1hi,CD8_Mem,CD8
13,CD8_Naive,CD8_Naive,CD8
14,B_Naive,B_Naive,B
15,Mono_Classical,Mono_Classical,Mono
16,NK_CD16hi,NK_CD16hi,NK
17,MAIT_Mem,MAIT,MAIT
18,B_Mem_IgM,B_Mem,B
19,NKT_CD57hi,NKT,NKT
20,Mono_Classical,Mono_Classical,Mono
21,Mono_NonClassical,Mono_NonClassical,Mono
22,NK_CD56hiCD16lo,NK_CD56hiCD16lo,NK
23,B_Naive,B_Naive,B
24,CD4_Naive,CD4_Naive,CD4
25,CD4_Mem,CD4_Mem,CD4
26,DNT_TCF7hi,DNT,DNT
27,CD8_Mem,CD8_Mem,CD8
28,CD8_Naive,CD8_Naive,CD8
29,CD4_Naive,CD4_Naive,CD4
30,CD4_Mem_KLRG1hi,CD4_Mem,CD4
31,cDC,cDC,cDC
32,Mono_Classical,Mono_Classical,Mono
33,CD8_Mem,CD8_Mem,CD8
34,CD4_isobinding,CD4_isobinding,CD4
35,CD8_Mem,CD8_Mem,CD8
36,Mono_Intermediate,Mono_Intermediate,Mono
37,CD8_TissueResidentMem,CD8_Mem,CD8
38,dim,dim,dim
39,pDC,pDC,pDC
40,Mono_Classical,Mono_Classical,Mono
41,Mono_Classical,Mono_Classical,Mono
42,MAIT_Naive,MAIT,MAIT
43,CD8_Mem_EM,CD8_Mem,CD8
44,B_Mem,B_Mem,B
45,cKit+CD3-activated,cKit+CD3-activated,cKit+CD3-activated
46,Platelet,Platelet,Platelet
47,CD4_Naive,CD4_Naive,CD4
48,NK_CD16hi_IgGhi,NK_CD16hi,NK
49,Plasmablast_IgDhi,Plasmablast,Plasmablast
50,Plasmablast_IgDneg,Plasmablast,Plasmablast
51,CD4_Mem,CD4_Mem,CD4
52,Mono_Classical,Mono_Classical,Mono
53,HSC,HSC,HSC
54,Mono_Classical,Mono_Classical,Mono
55,RBC,RBC,RBC
56,pDC,pDC,pDC